kind,same_group,group_pair,file_a,file_b,rmse
raw,True,0-0,N719_0713-0-1_C06.txt,N719_0713-0-2_C06.txt,0.1295847850884179
raw,True,0-0,N719_0713-0-1_C06.txt,N719_0713-0-3_C06.txt,0.11996930063517183
raw,True,0-0,N719_0713-0-1_C06.txt,N719_0713-0-4_C06.txt,0.1327894825166855
raw,True,0-0,N719_0713-0-1_C06.txt,N719_0713-0-5_C06.txt,0.13417856237029235
raw,False,0-a,N719_0713-0-1_C06.txt,N719_0713-a-1_C06.txt,1.6633711280313086
raw,False,0-a,N719_0713-0-1_C06.txt,N719_0713-a-2_C06.txt,1.7201213111917497
raw,False,0-a,N719_0713-0-1_C06.txt,N719_0713-a-3_C06.txt,1.7036807436353825
raw,False,0-a,N719_0713-0-1_C06.txt,N719_0713-a-4_C06.txt,1.6916486673595448
raw,False,0-a,N719_0713-0-1_C06.txt,N719_0713-a-5_C06.txt,1.6682948086584697
raw,False,0-b,N719_0713-0-1_C06.txt,N719_0713-b-1_C06.txt,1.349774280307306
raw,False,0-b,N719_0713-0-1_C06.txt,N719_0713-b-2_C06.txt,1.3289430340916901
raw,False,0-b,N719_0713-0-1_C06.txt,N719_0713-b-3_C06.txt,1.3428468854618323
raw,False,0-b,N719_0713-0-1_C06.txt,N719_0713-b-4_C06.txt,1.3217430543533837
raw,False,0-b,N719_0713-0-1_C06.txt,N719_0713-b-5_C06.txt,1.29051318983975
raw,False,0-c,N719_0713-0-1_C06.txt,N719_0713-c-1_C06.txt,3.4489032270455637
raw,False,0-c,N719_0713-0-1_C06.txt,N719_0713-c-2_C06.txt,3.427156140547752
raw,False,0-c,N719_0713-0-1_C06.txt,N719_0713-c-3_C06.txt,3.4707805143801687
raw,False,0-d,N719_0713-0-1_C06.txt,N719_0713-d-1_C06.txt,2.5382673700407534
raw,False,0-d,N719_0713-0-1_C06.txt,N719_0713-d-2_C06.txt,2.5897395602520996
raw,False,0-d,N719_0713-0-1_C06.txt,N719_0713-d-3_C06.txt,2.6152867664625292
raw,False,0-d,N719_0713-0-1_C06.txt,N719_0713-d-4_C06.txt,2.5880961136638416
raw,False,0-d,N719_0713-0-1_C06.txt,N719_0713-d-5_C06.txt,2.441005739552516
raw,False,0-e,N719_0713-0-1_C06.txt,N719_0713-e-1_C06.txt,3.6486205125612114
raw,False,0-e,N719_0713-0-1_C06.txt,N719_0713-e-2_C06.txt,3.825988854668074
raw,False,0-e,N719_0713-0-1_C06.txt,N719_0713-e-3_C06.txt,3.8799865965954616
raw,True,0-0,N719_0713-0-2_C06.txt,N719_0713-0-3_C06.txt,0.015332398387480097
raw,True,0-0,N719_0713-0-2_C06.txt,N719_0713-0-4_C06.txt,0.0056894767125500395
raw,True,0-0,N719_0713-0-2_C06.txt,N719_0713-0-5_C06.txt,0.007199123795813218
raw,False,0-a,N719_0713-0-2_C06.txt,N719_0713-a-1_C06.txt,1.6174642326608564
raw,False,0-a,N719_0713-0-2_C06.txt,N719_0713-a-2_C06.txt,1.6790678762381932
raw,False,0-a,N719_0713-0-2_C06.txt,N719_0713-a-3_C06.txt,1.663903578563608
raw,False,0-a,N719_0713-0-2_C06.txt,N719_0713-a-4_C06.txt,1.6518036020710358
raw,False,0-a,N719_0713-0-2_C06.txt,N719_0713-a-5_C06.txt,1.6280849820049546
raw,False,0-b,N719_0713-0-2_C06.txt,N719_0713-b-1_C06.txt,1.2973339765725809
raw,False,0-b,N719_0713-0-2_C06.txt,N719_0713-b-2_C06.txt,1.2784161862049486
raw,False,0-b,N719_0713-0-2_C06.txt,N719_0713-b-3_C06.txt,1.2924603044053535
raw,False,0-b,N719_0713-0-2_C06.txt,N719_0713-b-4_C06.txt,1.271914281796085
raw,False,0-b,N719_0713-0-2_C06.txt,N719_0713-b-5_C06.txt,1.240274566546539
raw,False,0-c,N719_0713-0-2_C06.txt,N719_0713-c-1_C06.txt,3.4330166136661564
raw,False,0-c,N719_0713-0-2_C06.txt,N719_0713-c-2_C06.txt,3.4065003879697904
raw,False,0-c,N719_0713-0-2_C06.txt,N719_0713-c-3_C06.txt,3.451410903520952
raw,False,0-d,N719_0713-0-2_C06.txt,N719_0713-d-1_C06.txt,2.5138714685500814
raw,False,0-d,N719_0713-0-2_C06.txt,N719_0713-d-2_C06.txt,2.567070862258917
raw,False,0-d,N719_0713-0-2_C06.txt,N719_0713-d-3_C06.txt,2.593450054659115
raw,False,0-d,N719_0713-0-2_C06.txt,N719_0713-d-4_C06.txt,2.5655112397039566
raw,False,0-d,N719_0713-0-2_C06.txt,N719_0713-d-5_C06.txt,2.412665337577491
raw,False,0-e,N719_0713-0-2_C06.txt,N719_0713-e-1_C06.txt,3.6382490650950317
raw,False,0-e,N719_0713-0-2_C06.txt,N719_0713-e-2_C06.txt,3.8200590260238694
raw,False,0-e,N719_0713-0-2_C06.txt,N719_0713-e-3_C06.txt,3.8752580790715134
raw,True,0-0,N719_0713-0-3_C06.txt,N719_0713-0-4_C06.txt,0.017093707838711555
raw,True,0-0,N719_0713-0-3_C06.txt,N719_0713-0-5_C06.txt,0.02106038302147244
raw,False,0-a,N719_0713-0-3_C06.txt,N719_0713-a-1_C06.txt,1.6304361046612919
raw,False,0-a,N719_0713-0-3_C06.txt,N719_0713-a-2_C06.txt,1.691870450353746
raw,False,0-a,N719_0713-0-3_C06.txt,N719_0713-a-3_C06.txt,1.6766666618520372
raw,False,0-a,N719_0713-0-3_C06.txt,N719_0713-a-4_C06.txt,1.664583967387972
raw,False,0-a,N719_0713-0-3_C06.txt,N719_0713-a-5_C06.txt,1.6408962718357976
raw,False,0-b,N719_0713-0-3_C06.txt,N719_0713-b-1_C06.txt,1.3096357749388412
raw,False,0-b,N719_0713-0-3_C06.txt,N719_0713-b-2_C06.txt,1.290678576041617
raw,False,0-b,N719_0713-0-3_C06.txt,N719_0713-b-3_C06.txt,1.3047602570488235
raw,False,0-b,N719_0713-0-3_C06.txt,N719_0713-b-4_C06.txt,1.2841809473307804
raw,False,0-b,N719_0713-0-3_C06.txt,N719_0713-b-5_C06.txt,1.252552385402487
raw,False,0-c,N719_0713-0-3_C06.txt,N719_0713-c-1_C06.txt,3.443958680250898
raw,False,0-c,N719_0713-0-3_C06.txt,N719_0713-c-2_C06.txt,3.417700467249038
raw,False,0-c,N719_0713-0-3_C06.txt,N719_0713-c-3_C06.txt,3.462536849176685
raw,False,0-d,N719_0713-0-3_C06.txt,N719_0713-d-1_C06.txt,2.525229623690457
raw,False,0-d,N719_0713-0-3_C06.txt,N719_0713-d-2_C06.txt,2.578349009356534
raw,False,0-d,N719_0713-0-3_C06.txt,N719_0713-d-3_C06.txt,2.6046889428641107
raw,False,0-d,N719_0713-0-3_C06.txt,N719_0713-d-4_C06.txt,2.576817565591759
raw,False,0-d,N719_0713-0-3_C06.txt,N719_0713-d-5_C06.txt,2.424209816023516
raw,False,0-e,N719_0713-0-3_C06.txt,N719_0713-e-1_C06.txt,3.6487738866569233
raw,False,0-e,N719_0713-0-3_C06.txt,N719_0713-e-2_C06.txt,3.83031593874358
raw,False,0-e,N719_0713-0-3_C06.txt,N719_0713-e-3_C06.txt,3.885439682885373
raw,True,0-0,N719_0713-0-4_C06.txt,N719_0713-0-5_C06.txt,0.006311041442752483
raw,False,0-a,N719_0713-0-4_C06.txt,N719_0713-a-1_C06.txt,1.618410090604108
raw,False,0-a,N719_0713-0-4_C06.txt,N719_0713-a-2_C06.txt,1.680137650109272
raw,False,0-a,N719_0713-0-4_C06.txt,N719_0713-a-3_C06.txt,1.665003299510399
raw,False,0-a,N719_0713-0-4_C06.txt,N719_0713-a-4_C06.txt,1.6529021904469214
raw,False,0-a,N719_0713-0-4_C06.txt,N719_0713-a-5_C06.txt,1.6291743299172148
raw,False,0-b,N719_0713-0-4_C06.txt,N719_0713-b-1_C06.txt,1.2981302842912539
raw,False,0-b,N719_0713-0-4_C06.txt,N719_0713-b-2_C06.txt,1.2792563941054533
raw,False,0-b,N719_0713-0-4_C06.txt,N719_0713-b-3_C06.txt,1.2932928663547494
raw,False,0-b,N719_0713-0-4_C06.txt,N719_0713-b-4_C06.txt,1.2727897802374377
raw,False,0-b,N719_0713-0-4_C06.txt,N719_0713-b-5_C06.txt,1.2411224872202677
raw,False,0-c,N719_0713-0-4_C06.txt,N719_0713-c-1_C06.txt,3.4346313253299083
raw,False,0-c,N719_0713-0-4_C06.txt,N719_0713-c-2_C06.txt,3.4079875595717177
raw,False,0-c,N719_0713-0-4_C06.txt,N719_0713-c-3_C06.txt,3.452929826846909
raw,False,0-d,N719_0713-0-4_C06.txt,N719_0713-d-1_C06.txt,2.515334098299669
raw,False,0-d,N719_0713-0-4_C06.txt,N719_0713-d-2_C06.txt,2.568576408684981
raw,False,0-d,N719_0713-0-4_C06.txt,N719_0713-d-3_C06.txt,2.5949763871527085
raw,False,0-d,N719_0713-0-4_C06.txt,N719_0713-d-4_C06.txt,2.567016350557014
raw,False,0-d,N719_0713-0-4_C06.txt,N719_0713-d-5_C06.txt,2.414029427350489
raw,False,0-e,N719_0713-0-4_C06.txt,N719_0713-e-1_C06.txt,3.640026737298666
raw,False,0-e,N719_0713-0-4_C06.txt,N719_0713-e-2_C06.txt,3.82194570296465
raw,False,0-e,N719_0713-0-4_C06.txt,N719_0713-e-3_C06.txt,3.877172657867111
raw,False,0-a,N719_0713-0-5_C06.txt,N719_0713-a-1_C06.txt,1.612425396243252
raw,False,0-a,N719_0713-0-5_C06.txt,N719_0713-a-2_C06.txt,1.6741663876063626
raw,False,0-a,N719_0713-0-5_C06.txt,N719_0713-a-3_C06.txt,1.659042058205491
raw,False,0-a,N719_0713-0-5_C06.txt,N719_0713-a-4_C06.txt,1.64694706861831
raw,False,0-a,N719_0713-0-5_C06.txt,N719_0713-a-5_C06.txt,1.6232251995076876
raw,False,0-b,N719_0713-0-5_C06.txt,N719_0713-b-1_C06.txt,1.29199082966279
raw,False,0-b,N719_0713-0-5_C06.txt,N719_0713-b-2_C06.txt,1.2731080807308655
raw,False,0-b,N719_0713-0-5_C06.txt,N719_0713-b-3_C06.txt,1.2871504049326492
raw,False,0-b,N719_0713-0-5_C06.txt,N719_0713-b-4_C06.txt,1.2666403042923378
raw,False,0-b,N719_0713-0-5_C06.txt,N719_0713-b-5_C06.txt,1.2349761750139445
raw,False,0-c,N719_0713-0-5_C06.txt,N719_0713-c-1_C06.txt,3.428585143719238
raw,False,0-c,N719_0713-0-5_C06.txt,N719_0713-c-2_C06.txt,3.4019029167297123
raw,False,0-c,N719_0713-0-5_C06.txt,N719_0713-c-3_C06.txt,3.4468528912416048
raw,False,0-d,N719_0713-0-5_C06.txt,N719_0713-d-1_C06.txt,2.5092262878182328
raw,False,0-d,N719_0713-0-5_C06.txt,N719_0713-d-2_C06.txt,2.5624805003738556
raw,False,0-d,N719_0713-0-5_C06.txt,N719_0713-d-3_C06.txt,2.5888866403927255
raw,False,0-d,N719_0713-0-5_C06.txt,N719_0713-d-4_C06.txt,2.5609281525045735
raw,False,0-d,N719_0713-0-5_C06.txt,N719_0713-d-5_C06.txt,2.407900850369024
raw,False,0-e,N719_0713-0-5_C06.txt,N719_0713-e-1_C06.txt,3.6340065252655958
raw,False,0-e,N719_0713-0-5_C06.txt,N719_0713-e-2_C06.txt,3.8159748864288394
raw,False,0-e,N719_0713-0-5_C06.txt,N719_0713-e-3_C06.txt,3.8712162041362608
raw,True,a-a,N719_0713-a-1_C06.txt,N719_0713-a-2_C06.txt,0.09433846036319621
raw,True,a-a,N719_0713-a-1_C06.txt,N719_0713-a-3_C06.txt,0.10397165122531453
raw,True,a-a,N719_0713-a-1_C06.txt,N719_0713-a-4_C06.txt,0.10090853884027623
raw,True,a-a,N719_0713-a-1_C06.txt,N719_0713-a-5_C06.txt,0.09431606701380264
raw,False,a-b,N719_0713-a-1_C06.txt,N719_0713-b-1_C06.txt,0.4089614823529308
raw,False,a-b,N719_0713-a-1_C06.txt,N719_0713-b-2_C06.txt,0.4119714421412897
raw,False,a-b,N719_0713-a-1_C06.txt,N719_0713-b-3_C06.txt,0.3958448880190876
raw,False,a-b,N719_0713-a-1_C06.txt,N719_0713-b-4_C06.txt,0.41109906145802605
raw,False,a-b,N719_0713-a-1_C06.txt,N719_0713-b-5_C06.txt,0.43742919264959684
raw,False,a-c,N719_0713-a-1_C06.txt,N719_0713-c-1_C06.txt,1.8947612696850393
raw,False,a-c,N719_0713-a-1_C06.txt,N719_0713-c-2_C06.txt,1.8492142155283675
raw,False,a-c,N719_0713-a-1_C06.txt,N719_0713-c-3_C06.txt,1.8984816924427768
raw,False,a-d,N719_0713-a-1_C06.txt,N719_0713-d-1_C06.txt,0.9673808577588383
raw,False,a-d,N719_0713-a-1_C06.txt,N719_0713-d-2_C06.txt,1.0254291622311944
raw,False,a-d,N719_0713-a-1_C06.txt,N719_0713-d-3_C06.txt,1.0542968653968166
raw,False,a-d,N719_0713-a-1_C06.txt,N719_0713-d-4_C06.txt,1.022693144706453
raw,False,a-d,N719_0713-a-1_C06.txt,N719_0713-d-5_C06.txt,0.8556271638433293
raw,False,a-e,N719_0713-a-1_C06.txt,N719_0713-e-1_C06.txt,2.124890921987728
raw,False,a-e,N719_0713-a-1_C06.txt,N719_0713-e-2_C06.txt,2.3261685486043353
raw,False,a-e,N719_0713-a-1_C06.txt,N719_0713-e-3_C06.txt,2.3868829494862305
raw,True,a-a,N719_0713-a-2_C06.txt,N719_0713-a-3_C06.txt,0.027323821018464707
raw,True,a-a,N719_0713-a-2_C06.txt,N719_0713-a-4_C06.txt,0.03754344863786639
raw,True,a-a,N719_0713-a-2_C06.txt,N719_0713-a-5_C06.txt,0.05795482886086809
raw,False,a-b,N719_0713-a-2_C06.txt,N719_0713-b-1_C06.txt,0.48899079780164406
raw,False,a-b,N719_0713-a-2_C06.txt,N719_0713-b-2_C06.txt,0.48928966853584865
raw,False,a-b,N719_0713-a-2_C06.txt,N719_0713-b-3_C06.txt,0.4733637855932889
raw,False,a-b,N719_0713-a-2_C06.txt,N719_0713-b-4_C06.txt,0.48753525937751563
raw,False,a-b,N719_0713-a-2_C06.txt,N719_0713-b-5_C06.txt,0.5135367936131935
raw,False,a-c,N719_0713-a-2_C06.txt,N719_0713-c-1_C06.txt,1.8184436817356657
raw,False,a-c,N719_0713-a-2_C06.txt,N719_0713-c-2_C06.txt,1.77656826036761
raw,False,a-c,N719_0713-a-2_C06.txt,N719_0713-c-3_C06.txt,1.8249799697966869
raw,False,a-d,N719_0713-a-2_C06.txt,N719_0713-d-1_C06.txt,0.895792585970741
raw,False,a-d,N719_0713-a-2_C06.txt,N719_0713-d-2_C06.txt,0.951995910856553
raw,False,a-d,N719_0713-a-2_C06.txt,N719_0713-d-3_C06.txt,0.9800488165915996
raw,False,a-d,N719_0713-a-2_C06.txt,N719_0713-d-4_C06.txt,0.9484474125599988
raw,False,a-d,N719_0713-a-2_C06.txt,N719_0713-d-5_C06.txt,0.7889334810680748
raw,False,a-e,N719_0713-a-2_C06.txt,N719_0713-e-1_C06.txt,2.0467285851937143
raw,False,a-e,N719_0713-a-2_C06.txt,N719_0713-e-2_C06.txt,2.2458414279435575
raw,False,a-e,N719_0713-a-2_C06.txt,N719_0713-e-3_C06.txt,2.306041096607078
raw,True,a-a,N719_0713-a-3_C06.txt,N719_0713-a-4_C06.txt,0.01337670478850441
raw,True,a-a,N719_0713-a-3_C06.txt,N719_0713-a-5_C06.txt,0.03769248619772184
raw,False,a-b,N719_0713-a-3_C06.txt,N719_0713-b-1_C06.txt,0.4874487790478906
raw,False,a-b,N719_0713-a-3_C06.txt,N719_0713-b-2_C06.txt,0.48593559570935
raw,False,a-b,N719_0713-a-3_C06.txt,N719_0713-b-3_C06.txt,0.47024164495829973
raw,False,a-b,N719_0713-a-3_C06.txt,N719_0713-b-4_C06.txt,0.4835293166506688
raw,False,a-b,N719_0713-a-3_C06.txt,N719_0713-b-5_C06.txt,0.5086375040898453
raw,False,a-c,N719_0713-a-3_C06.txt,N719_0713-c-1_C06.txt,1.8285654370074271
